"","stand","ac_type_long","stand_impact","impact","ac_type_long_impact","updated_at"
"90","CG2-4","ANY SIZE","CG2-20","Size","ANY SIZE",2020-05-27 02:06:38
"91","CG2-4","ANY SIZE","CG2-5","Size","ANY SIZE",2020-05-27 02:06:38
"92","CG2-4R","ANY SIZE","CG2-20","Size","ANY SIZE",2020-05-27 02:06:38
"93","CG2-4R","ANY SIZE","CG2-5","Size","ANY SIZE",2020-05-27 02:06:38
"94","CG2-5","ANY SIZE","CG2-RON1","Size","ANY SIZE",NA
"95","CG2-5","ANY SIZE","CG2-4","Size","ANY SIZE",2020-05-27 02:06:38
"96","CG2-5","ANY SIZE","CG2-6","Size","ANY SIZE",2020-05-27 02:06:38
"97","CG2-5","ANY SIZE","CG2-4R","Size","ANY SIZE",2020-05-27 02:06:38
"98","CG2-6","ANY SIZE","CG2-5","Size","ANY SIZE",2020-05-27 02:06:38
"99","CG2-9","ANY SIZE","CG2-10","Size","ANY SIZE",2020-05-27 02:06:38
"100","CG2-RON1","ANY SIZE","CG2-5","Size","ANY SIZE",NA
"101","CG3-1","ANY SIZE","CG3-2R","Size","ANY SIZE",2020-05-27 02:06:38
"102","CG3-1","ANY SIZE","CG3-2","Size","ANY SIZE",2020-05-27 02:06:38
"103","CG3-2","ANY SIZE","CG3-1","Size","ANY SIZE",2020-05-27 02:06:38
"104","CG3-2R","ANY SIZE","CG3-1","Size","ANY SIZE",2020-05-27 02:06:38
"105","CG4-1","ANY SIZE","CG4-3","Size","ANY SIZE",2020-05-27 02:06:38
"106","CG4-3","ANY SIZE","CG4-1","Size","ANY SIZE",2020-05-27 02:06:38
"107","CG4-3","ANY SIZE","CG4-5","Size","ANY SIZE",2020-05-27 02:06:38
"108","CG4-5","ANY SIZE","CG4-7","Size","ANY SIZE",2020-05-27 02:06:38
"109","CG4-5","ANY SIZE","CG4-3","Size","ANY SIZE",2020-05-27 02:06:38
"110","CG4-7","ANY SIZE","CG4-5","Size","ANY SIZE",2020-05-27 02:06:38
"111","CG4-7","ANY SIZE","CG4-9","Size","ANY SIZE",2020-05-27 02:06:38
"112","CG4-9","ANY SIZE","CG4-7","Size","ANY SIZE",2020-05-27 02:06:38
"113","CG5-10","ANY SIZE","CG5-7","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"114","CG5-10","ANY SIZE","CG5-6","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"115","CG5-10","ANY SIZE","CG5-5","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"116","CG5-10","ANY SIZE","CG5-4","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"117","CG5-10","ANY SIZE","CG5-3","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"118","CG5-10R","ANY SIZE","CG5-8","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"119","CG5-10R","ANY SIZE","CG5-7","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"120","CG5-10R","ANY SIZE","CG5-6","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"121","CG5-10R","ANY SIZE","CG5-2","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"122","CG5-10R","ANY SIZE","CG5-4","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"123","CG5-10R","ANY SIZE","CG5-3","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"124","CG5-10R","ANY SIZE","CG5-5","Entry_and_Exit","ANY SIZE",2020-05-27 02:06:38
"125","CG6-1","ANY SIZE","CG6-2","Size","ANY SIZE",2020-05-27 02:06:38
"126","CG6-1","ANY SIZE","CG6-3","Size","BOEING B737-900 WINGLETS",2020-05-27 02:06:38
"127","CG6-2","ANY SIZE","CG6-1","Size","ANY SIZE",2020-05-27 02:06:38
"128","CG6-2","BOEING B747-400","CG6-7","Size","ANY SIZE",2020-05-27 02:06:38
"129","CG6-2","ANY SIZE","CG6-3","Size","ANY SIZE",2020-05-27 02:06:38
"130","CG6-2","ANY SIZE","CG6-6","Size","ANY SIZE",2020-05-27 02:06:38
"131","CG6-3","ANY SIZE","CG6-2","Size","ANY SIZE",2020-05-27 02:06:38
"132","CG6-3","BOEING B757-200","CG6-5","Size","ANY SIZE",2020-05-27 02:06:38
"133","CG6-3","BOEING B757-200","CG6-1","Size","ANY SIZE",2020-05-27 02:06:38
"134","CG6-3","BOEING B757-200","CG6-4","Size","ANY SIZE",2020-05-27 02:06:38
"135","CG6-3","BOEING B757-200","CG6-6","Size","ANY SIZE",2020-05-27 02:06:38
"136","CG6-3","BOEING B757-200","CG6-7","Size","ANY SIZE",2020-05-27 02:06:38
"137","CG6-4","ANY SIZE","CG6-5","Size","ANY SIZE",2020-05-27 02:06:38
"138","CG6-4","BOEING B757-200","CG6-3","Size","ANY SIZE",2020-05-27 02:06:38
"139","CG6-4","BOEING B757-200","CG6-8","Size","ANY SIZE",2020-05-27 02:06:38
"140","CG6-4","BOEING B757-200","CG6-7","Size","ANY SIZE",2020-05-27 02:06:38
"141","CG6-5","ANY SIZE","CG6-4","Size","ANY SIZE",2020-05-27 02:06:38
"142","CG6-5","BOEING B767-200","CG6-3","Size","BOEING B737-900 WINGLETS",2020-05-27 02:06:38
"143","CG6-5","ANY SIZE","CG6-7","Size","ANY SIZE",2020-05-27 02:06:38
"144","CG6-5","ANY SIZE","CG6-8","Size","ANY SIZE",2020-05-27 02:06:38
"145","CG6-6","ANY SIZE","CG6-3","Size","BOEING B737-900 WINGLETS",2020-05-27 02:06:38
"146","CG6-6","ANY SIZE","CG6-2","Size","ANY SIZE",2020-05-27 02:06:38
"147","CG6-7","ANY SIZE","CG6-2","Size","BOEING B747-400",2020-05-27 02:06:38
